tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2014,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,132,15,7,99,02467,1,2026-03-06
2014,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,37,7,7,99,02467,2,2026-03-06
2014,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,38,3,6,99,02467,2,2026-03-06
2014,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,8,1,7,99,02467,6,2026-03-06
2015,Tieto puuttuu,Kulttuuriala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,0,0,2,99,02467,6,2026-03-06
2015,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,87,19,3,99,02467,1,2026-03-06
2015,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,25,3,3,99,02467,2,2026-03-06
2015,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,36,2,3,99,02467,6,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,38,49,99,2,02467,1,2026-03-06
2016,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,9,8,99,2,02467,2,2026-03-06
2016,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,111,10,99,5,02467,1,2026-03-06
2016,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,34,2,99,5,02467,2,2026-03-06
2016,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,39,9,99,5,02467,6,2026-03-06
2016,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,51,2,99,7,02467,1,2026-03-06
2016,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,20,1,99,7,02467,2,2026-03-06
2016,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,182,36,99,8,02467,1,2026-03-06
2016,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,48,8,99,8,02467,2,2026-03-06
2016,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,32,13,99,8,02467,6,2026-03-06
2016,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,120,15,99,9,02467,1,2026-03-06
2016,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,28,3,99,9,02467,2,2026-03-06
2016,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,4,3,99,9,02467,6,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,136,60,99,11,02467,1,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,27,6,99,11,02467,2,2026-03-06
2016,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,29,12,99,11,02467,6,2026-03-06
2016,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,46,3,99,12,02467,1,2026-03-06
2016,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,16,0,99,12,02467,2,2026-03-06
2011,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,2,3,2,99,02467,2,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,97,6,3,99,02467,1,2026-03-06
2014,Tieto puuttuu,Luonnonvara- ja ympäristöala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,10,3,6,99,02467,6,2026-03-06
2015,Tieto puuttuu,Luonnontieteiden ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,0,0,4,99,02467,6,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,261,29,5,99,02467,1,2026-03-06
2010,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,19,0,3,99,02467,2,2026-03-06
2010,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,12,0,3,99,02467,6,2026-03-06
2010,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,31,2,4,99,02467,1,2026-03-06
2010,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,8,1,4,99,02467,2,2026-03-06
2011,Tieto puuttuu,"Yhteiskuntatieteiden, liiketalouden ja hallinnon ala",Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,30,1,3,99,02467,2,2026-03-06
2010,Tieto puuttuu,"Matkailu-, ravitsemis- ja talousala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,17,5,8,99,02467,1,2026-03-06
2015,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,6,4,2,99,02467,2,2026-03-06
