tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2024,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,35,99,1,02471,1,2026-03-06
2024,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,1,40,99,2,02471,1,2026-03-06
2024,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,89,106,99,5,02471,1,2026-03-06
2024,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,23,146,99,7,02471,1,2026-03-06
2024,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,164,157,99,8,02471,1,2026-03-06
2024,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,10,13,99,9,02471,1,2026-03-06
2024,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,1,17,99,10,02471,1,2026-03-06
2024,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,69,158,99,11,02471,1,2026-03-06
2024,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,2,99,2,02471,2,2026-03-06
2024,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,31,33,99,5,02471,2,2026-03-06
2024,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,10,80,99,7,02471,2,2026-03-06
2024,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,28,18,99,8,02471,2,2026-03-06
2024,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,1,99,9,02471,2,2026-03-06
2024,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,117,121,99,11,02471,2,2026-03-06
2024,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,11,99,1,02471,6,2026-03-06
2024,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,9,21,99,2,02471,6,2026-03-06
2024,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,27,54,99,5,02471,6,2026-03-06
2024,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,5,29,99,7,02471,6,2026-03-06
2024,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,45,37,99,8,02471,6,2026-03-06
2024,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,2,11,99,9,02471,6,2026-03-06
2024,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,1,1,99,10,02471,6,2026-03-06
2024,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,34,100,99,11,02471,6,2026-03-06
2025,Kasvatusalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,46,99,1,02471,1,2026-03-06
2025,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,3,32,99,2,02471,1,2026-03-06
2025,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,76,161,99,5,02471,1,2026-03-06
2025,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,29,228,99,7,02471,1,2026-03-06
2025,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,188,201,99,8,02471,1,2026-03-06
2025,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,11,18,99,9,02471,1,2026-03-06
2025,Lääketieteet,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,19,99,10,02471,1,2026-03-06
2025,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,97,135,99,11,02471,1,2026-03-06
2025,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,3,99,2,02471,2,2026-03-06
2025,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,40,25,99,5,02471,2,2026-03-06
2025,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,18,90,99,7,02471,2,2026-03-06
2025,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,30,31,99,8,02471,2,2026-03-06
2025,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,4,4,99,9,02471,2,2026-03-06
2025,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,120,161,99,11,02471,2,2026-03-06
2025,Kasvatusalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,1,8,99,1,02471,6,2026-03-06
2025,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,10,20,99,2,02471,6,2026-03-06
2025,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,44,55,99,5,02471,6,2026-03-06
2025,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,5,34,99,7,02471,6,2026-03-06
2025,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,41,36,99,8,02471,6,2026-03-06
2025,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,3,16,99,9,02471,6,2026-03-06
2025,Lääketieteet,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,0,6,99,10,02471,6,2026-03-06
2025,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Oulun ammattikorkeakoulu,28,107,99,11,02471,6,2026-03-06
2025,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,13,18,99,2,02472,1,2026-03-06
2025,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,8,23,99,4,02472,1,2026-03-06
2025,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,91,61,99,5,02472,1,2026-03-06
2025,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,7,6,99,7,02472,1,2026-03-06
2025,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,95,58,99,8,02472,1,2026-03-06
2025,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,11,31,99,9,02472,1,2026-03-06
2025,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,157,64,99,11,02472,1,2026-03-06
2025,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,8,0,99,12,02472,1,2026-03-06
2025,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,37,17,99,5,02472,2,2026-03-06
2025,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,33,27,99,8,02472,2,2026-03-06
2025,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,6,8,99,9,02472,2,2026-03-06
2025,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,91,72,99,11,02472,2,2026-03-06
2025,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,7,0,99,12,02472,2,2026-03-06
2025,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,4,0,99,2,02472,6,2026-03-06
2025,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,71,0,99,5,02472,6,2026-03-06
2025,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,43,0,99,8,02472,6,2026-03-06
2025,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,4,0,99,9,02472,6,2026-03-06
2025,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,47,0,99,11,02472,6,2026-03-06
2025,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,5,0,99,12,02472,6,2026-03-06
2024,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,19,21,99,2,02472,1,2026-03-06
2024,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,12,12,99,4,02472,1,2026-03-06
2024,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,88,67,99,5,02472,1,2026-03-06
2024,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,1,1,99,7,02472,1,2026-03-06
2024,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,106,52,99,8,02472,1,2026-03-06
2024,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,15,25,99,9,02472,1,2026-03-06
2024,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,124,82,99,11,02472,1,2026-03-06
2024,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,13,4,99,12,02472,1,2026-03-06
2024,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,36,14,99,5,02472,2,2026-03-06
2024,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,53,24,99,8,02472,2,2026-03-06
2024,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,3,8,99,9,02472,2,2026-03-06
2024,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,107,43,99,11,02472,2,2026-03-06
2024,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,6,1,99,12,02472,2,2026-03-06
2024,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,11,0,99,2,02472,6,2026-03-06
2024,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,66,0,99,5,02472,6,2026-03-06
2024,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,43,0,99,8,02472,6,2026-03-06
2024,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,4,0,99,9,02472,6,2026-03-06
2024,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,44,0,99,11,02472,6,2026-03-06
2024,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,9,1,99,12,02472,6,2026-03-06
2023,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,21,28,99,2,02472,1,2026-03-06
2023,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,5,16,99,4,02472,1,2026-03-06
2023,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,91,53,99,5,02472,1,2026-03-06
2023,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,2,0,99,7,02472,1,2026-03-06
2023,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,106,27,99,8,02472,1,2026-03-06
2023,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,16,15,99,9,02472,1,2026-03-06
2023,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,116,55,99,11,02472,1,2026-03-06
2023,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,11,4,99,12,02472,1,2026-03-06
2023,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,35,13,99,5,02472,2,2026-03-06
2023,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,41,14,99,8,02472,2,2026-03-06
2023,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,6,8,99,9,02472,2,2026-03-06
2023,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,75,23,99,11,02472,2,2026-03-06
2023,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,2,0,99,12,02472,2,2026-03-06
2023,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,6,1,99,2,02472,6,2026-03-06
2023,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,40,0,99,5,02472,6,2026-03-06
2023,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,43,6,99,8,02472,6,2026-03-06
2023,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,9,0,99,9,02472,6,2026-03-06
2023,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,33,3,99,11,02472,6,2026-03-06
2023,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,4,0,99,12,02472,6,2026-03-06
2022,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,13,16,99,2,02472,1,2026-03-06
2022,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,8,12,99,4,02472,1,2026-03-06
2022,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,70,40,99,5,02472,1,2026-03-06
2022,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,1,0,99,7,02472,1,2026-03-06
2022,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,119,30,99,8,02472,1,2026-03-06
2022,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,19,14,99,9,02472,1,2026-03-06
2022,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,137,31,99,11,02472,1,2026-03-06
2022,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,17,9,99,12,02472,1,2026-03-06
2022,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,2,0,99,4,02472,2,2026-03-06
2022,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,39,5,99,5,02472,2,2026-03-06
2022,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,1,0,99,7,02472,2,2026-03-06
2022,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,18,14,99,8,02472,2,2026-03-06
2022,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,6,9,99,9,02472,2,2026-03-06
2022,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,75,19,99,11,02472,2,2026-03-06
2022,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,7,2,99,12,02472,2,2026-03-06
2022,Taiteet ja kulttuurialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,8,3,99,2,02472,6,2026-03-06
2022,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,24,5,99,5,02472,6,2026-03-06
2022,Tekniikan alat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,37,3,99,8,02472,6,2026-03-06
2022,Maa- ja metsätalousalat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,5,0,99,9,02472,6,2026-03-06
2022,Terveys- ja hyvinvointialat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,39,1,99,11,02472,6,2026-03-06
2022,Palvelualat,Tieto puuttuu,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,7,2,99,12,02472,6,2026-03-06
2021,Taiteet ja kulttuurialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,19,17,99,2,02472,1,2026-03-06
2021,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,8,5,99,4,02472,1,2026-03-06
2021,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,65,76,99,5,02472,1,2026-03-06
2021,Tietojenkäsittely ja tietoliikenne,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,3,2,99,7,02472,1,2026-03-06
2021,Tekniikan alat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,105,24,99,8,02472,1,2026-03-06
2021,Maa- ja metsätalousalat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,34,13,99,9,02472,1,2026-03-06
2021,Terveys- ja hyvinvointialat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,159,71,99,11,02472,1,2026-03-06
2021,Palvelualat,Tieto puuttuu,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,21,7,99,12,02472,1,2026-03-06
2021,Yhteiskunnalliset alat,Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,2,2,99,4,02472,2,2026-03-06
2021,"Kauppa, hallinto ja oikeustieteet",Tieto puuttuu,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Seinäjoen ammattikorkeakoulu,16,16,99,5,02472,2,2026-03-06
